Channel No,Priority CH,Rx Freq,Tx Freq,Offset Freq,Offset Direction,Auto Mode,Operating Mode,DIG/ANALOG,TAG,Name,Tone Mode,CTCSS Freq,DCS Code,DCS Polarity,User CTCSS,RX DG-ID,TX DG-ID,Tx Power,Skip,AUTO STEP,Step,Memory Mask,ATT,S-Meter SQL,Bell,Narrow,Clock Shift,BANK 1,BANK 2,BANK 3,BANK 4,BANK 5,BANK 6,BANK 7,BANK 8,BANK 9,BANK 10,BANK 11,BANK 12,BANK 13,BANK 14,BANK 15,BANK 16,BANK 17,BANK 18,BANK 19,BANK 20,BANK 21,BANK 22,BANK 23,BANK 24,Comment
11,OFF,144.8625,144.8625,0.6,OFF,ON,FM,AMS,ON,UCQ Tete-de-Ran,TONE,67.0 Hz,023,RX Normal TX Normal,1600 Hz,RX 00,TX 00,High (5W),OFF,ON,6.25KHz,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,"MM D-STAR/DMR/C4FM/T67.0"
12,OFF,144.8875,144.8875,0.6,OFF,ON,FM,DN,ON,T Chateau-dOex,OFF,67.0 Hz,023,RX Normal TX Normal,1600 Hz,RX 00,TX 00,High (5W),OFF,ON,6.25KHz,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,"C4FM #31157 (ID HB9HFV)"
13,OFF,144.9,144.9,0.6,OFF,ON,FM,DN,ON,PS Martigny,OFF,67.0 Hz,023,RX Normal TX Normal,1600 Hz,RX 00,TX 00,High (5W),OFF,ON,6.25KHz,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,"MM DMR/C4FM/D-STAR"
14,OFF,144.925,144.925,0.6,OFF,ON,FM,DN,ON,UCQ La Berra,OFF,67.0 Hz,023,RX Normal TX Normal,1600 Hz,RX 00,TX 00,High (5W),OFF,ON,6.25KHz,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,"MM D-STAR/DMR/C4FM (2020)"
15,OFF,144.9875,144.9875,0.6,OFF,ON,FM,DN,ON,DS Rothrist,OFF,67.0 Hz,023,RX Normal TX Normal,1600 Hz,RX 00,TX 00,High (5W),OFF,ON,6.25KHz,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,"D-STAR Hotspot"
16,OFF,145.225,145.225,0.6,OFF,ON,FM,DN,ON,LC Le Maillard,OFF,67.0 Hz,023,RX Normal TX Normal,1600 Hz,RX 00,TX 00,High (5W),OFF,ON,6.25KHz,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,"FM 1750 Echo 30s"
17,OFF,145.2375,145.2375,0.6,OFF,ON,FM,DN,ON,UCQ Le Paquier-M,OFF,67.0 Hz,023,RX Normal TX Normal,1600 Hz,RX 00,TX 00,High (5W),OFF,ON,6.25KHz,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,"D-STAR HB9UCQ_C"
18,OFF,145.2875,145.2875,0.6,OFF,ON,FM,AMS,ON,BC Wolfwil,TONE,71.9 Hz,023,RX Normal TX Normal,1600 Hz,RX 00,TX 00,High (5W),OFF,ON,6.25KHz,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,"EL#929173 NFM T71.9"
19,OFF,145.3375,145.3375,0.6,OFF,ON,FM,AMS,ON,FA Balsthal,DCS,67.0 Hz,023,RX Normal TX Normal,1600 Hz,RX 00,TX 00,High (5W),OFF,ON,6.25KHz,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,"EL#4710 NFM DCS023"
20,OFF,145.3375,145.3375,0.6,OFF,ON,FM,DN,ON,PE Rougement,OFF,67.0 Hz,023,RX Normal TX Normal,1600 Hz,RX 00,TX 00,High (5W),OFF,ON,6.25KHz,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,"D-STAR*"
